 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.12419E-08   0.19977E-04
  0.95173E+08   0.11237E-08   0.18498E-04
  0.19035E+09   0.10168E-08   0.17129E-04
  0.28552E+09   0.92005E-09   0.15861E-04
  0.38069E+09   0.83249E-09   0.14686E-04
  0.47587E+09   0.75327E-09   0.13599E-04
  0.57104E+09   0.68159E-09   0.12592E-04
  0.66621E+09   0.61673E-09   0.11660E-04
  0.76139E+09   0.55804E-09   0.10796E-04
  0.85656E+09   0.50493E-09   0.99971E-05
  0.95173E+09   0.45688E-09   0.92569E-05
  0.10469E+10   0.41340E-09   0.85716E-05
  0.11421E+10   0.37406E-09   0.79369E-05
  0.12373E+10   0.33847E-09   0.73493E-05
  0.13324E+10   0.30626E-09   0.68052E-05
  0.14276E+10   0.27711E-09   0.63013E-05
  0.15228E+10   0.25074E-09   0.58348E-05
  0.16179E+10   0.22688E-09   0.54028E-05
  0.17131E+10   0.20529E-09   0.50028E-05
  0.18083E+10   0.18575E-09   0.46324E-05
  0.19035E+10   0.16808E-09   0.42894E-05
  0.19986E+10   0.15208E-09   0.39718E-05
  0.20938E+10   0.13761E-09   0.36777E-05
  0.21890E+10   0.12451E-09   0.34054E-05
  0.22842E+10   0.11267E-09   0.31533E-05
  0.23793E+10   0.10194E-09   0.29198E-05
  0.24745E+10   0.92243E-10   0.27037E-05
  0.25697E+10   0.83465E-10   0.25035E-05
  0.26649E+10   0.75522E-10   0.23181E-05
  0.27600E+10   0.68335E-10   0.21465E-05
  0.28552E+10   0.61832E-10   0.19876E-05
  0.29504E+10   0.55948E-10   0.18404E-05
  0.30455E+10   0.50624E-10   0.17042E-05
  0.31407E+10   0.45806E-10   0.15780E-05
  0.32359E+10   0.41447E-10   0.14611E-05
  0.33311E+10   0.37503E-10   0.13530E-05
  0.34262E+10   0.33934E-10   0.12528E-05
  0.35214E+10   0.30705E-10   0.11600E-05
  0.36166E+10   0.27783E-10   0.10741E-05
  0.37118E+10   0.25139E-10   0.99462E-06
  0.38069E+10   0.22747E-10   0.92098E-06
  0.39021E+10   0.20582E-10   0.85279E-06
  0.39973E+10   0.18624E-10   0.78965E-06
  0.40925E+10   0.16851E-10   0.73119E-06
  0.41876E+10   0.15248E-10   0.67705E-06
  0.42828E+10   0.13797E-10   0.62692E-06
  0.43780E+10   0.12484E-10   0.58051E-06
  0.44731E+10   0.11296E-10   0.53753E-06
  0.45683E+10   0.10221E-10   0.49773E-06
  0.46635E+10   0.92482E-11   0.46088E-06
  0.47587E+10   0.83681E-11   0.42675E-06
  0.48538E+10   0.75718E-11   0.39516E-06
  0.49490E+10   0.68512E-11   0.36590E-06
  0.50442E+10   0.61992E-11   0.33881E-06
  0.51394E+10   0.56093E-11   0.31372E-06
  0.52345E+10   0.50755E-11   0.29050E-06
  0.53297E+10   0.45925E-11   0.26899E-06
  0.54249E+10   0.41555E-11   0.24907E-06
  0.55201E+10   0.37600E-11   0.23063E-06
  0.56152E+10   0.34022E-11   0.21356E-06
  0.57104E+10   0.30785E-11   0.19774E-06
  0.58056E+10   0.27855E-11   0.18310E-06
  0.59007E+10   0.25204E-11   0.16955E-06
  0.59959E+10   0.22806E-11   0.15699E-06
  0.60911E+10   0.20636E-11   0.14537E-06
  0.61863E+10   0.18672E-11   0.13461E-06
  0.62814E+10   0.16895E-11   0.12464E-06
  0.63766E+10   0.15287E-11   0.11541E-06
  0.64718E+10   0.13832E-11   0.10687E-06
  0.65670E+10   0.12516E-11   0.98956E-07
  0.66621E+10   0.11325E-11   0.91629E-07
  0.67573E+10   0.10247E-11   0.84845E-07
  0.68525E+10   0.92721E-12   0.78563E-07
  0.69477E+10   0.83898E-12   0.72746E-07
  0.70428E+10   0.75914E-12   0.67360E-07
  0.71380E+10   0.68690E-12   0.62373E-07
  0.72332E+10   0.62153E-12   0.57755E-07
  0.73283E+10   0.56238E-12   0.53479E-07
  0.74235E+10   0.50887E-12   0.49519E-07
  0.75187E+10   0.46044E-12   0.45853E-07
  0.76139E+10   0.41662E-12   0.42458E-07
  0.77090E+10   0.37698E-12   0.39315E-07
  0.78042E+10   0.34110E-12   0.36404E-07
  0.78994E+10   0.30864E-12   0.33708E-07
  0.79946E+10   0.27927E-12   0.31213E-07
  0.80897E+10   0.25270E-12   0.28902E-07
  0.81849E+10   0.22865E-12   0.26762E-07
  0.82801E+10   0.20689E-12   0.24780E-07
  0.83753E+10   0.18720E-12   0.22946E-07
  0.84704E+10   0.16939E-12   0.21247E-07
  0.85656E+10   0.15327E-12   0.19674E-07
  0.86608E+10   0.13868E-12   0.18217E-07
  0.87559E+10   0.12548E-12   0.16868E-07
  0.88511E+10   0.11354E-12   0.15619E-07
  0.89463E+10   0.10274E-12   0.14463E-07
  0.90415E+10   0.92962E-13   0.13392E-07
  0.91366E+10   0.84115E-13   0.12401E-07
  0.92318E+10   0.76110E-13   0.11483E-07
  0.93270E+10   0.68868E-13   0.10632E-07
  0.94222E+10   0.62314E-13   0.98452E-08
  0.95173E+10   0.56384E-13   0.91162E-08
  0.96125E+10   0.51018E-13   0.84413E-08
  0.97077E+10   0.46163E-13   0.78163E-08
  0.98029E+10   0.41770E-13   0.72376E-08
  0.98980E+10   0.37795E-13   0.67017E-08
  0.99932E+10   0.34199E-13   0.62055E-08
