 time (at Rp)  nbod    mass/mp
  0.10000E+07    51   0.10000E-05
  0.20000E+07    52   0.12198E-05
  0.30000E+07    53   0.13606E-05
  0.40000E+07    54   0.25716E-05
  0.50000E+07    55   0.49722E-05
  0.60000E+07    56   0.50121E-05
  0.70000E+07    56   0.50121E-05
  0.80000E+07    57   0.74127E-05
  0.90000E+07    58   0.74998E-05
  0.10000E+08    59   0.93796E-05
  0.11000E+08    58   0.93988E-05
  0.12000E+08    59   0.94180E-05
  0.13000E+08    58   0.94180E-05
  0.14000E+08    59   0.94420E-05
  0.15000E+08    58   0.96166E-05
  0.16000E+08    59   0.98649E-05
  0.17000E+08    60   0.99920E-05
  0.18000E+08    61   0.10119E-04
  0.19000E+08    61   0.10119E-04
  0.20000E+08    62   0.10152E-04
  0.21000E+08    63   0.10177E-04
  0.22000E+08    64   0.10867E-04
  0.23000E+08    65   0.10901E-04
  0.24000E+08    66   0.10959E-04
  0.25000E+08    66   0.10959E-04
  0.26000E+08    67   0.11064E-04
  0.27000E+08    67   0.11646E-04
  0.28000E+08    68   0.11666E-04
  0.29000E+08    69   0.11706E-04
  0.30000E+08    69   0.11901E-04
  0.31000E+08    68   0.11901E-04
  0.32000E+08    69   0.11981E-04
  0.33000E+08    69   0.12564E-04
  0.34000E+08    69   0.13253E-04
  0.35000E+08    70   0.13409E-04
  0.36000E+08    71   0.14232E-04
  0.37000E+08    71   0.14232E-04
  0.38000E+08    72   0.15730E-04
  0.39000E+08    73   0.17609E-04
  0.40000E+08    72   0.17683E-04
  0.41000E+08    72   0.19180E-04
  0.42000E+08    72   0.21060E-04
  0.43000E+08    71   0.21060E-04
  0.44000E+08    72   0.21091E-04
  0.45000E+08    72   0.21121E-04
  0.46000E+08    72   0.23522E-04
  0.47000E+08    72   0.23568E-04
  0.48000E+08    73   0.25065E-04
  0.49000E+08    73   0.25115E-04
  0.50000E+08    73   0.25115E-04
  0.51000E+08    73   0.25140E-04
  0.52000E+08    74   0.25208E-04
  0.53000E+08    73   0.26705E-04
  0.54000E+08    74   0.29106E-04
  0.55000E+08    74   0.29221E-04
  0.56000E+08    72   0.29221E-04
  0.57000E+08    71   0.29244E-04
  0.58000E+08    70   0.29317E-04
  0.59000E+08    69   0.30006E-04
  0.60000E+08    69   0.30064E-04
  0.61000E+08    70   0.30144E-04
  0.62000E+08    68   0.30144E-04
  0.63000E+08    68   0.30300E-04
  0.64000E+08    69   0.30989E-04
  0.65000E+08    68   0.31311E-04
  0.66000E+08    68   0.31331E-04
  0.67000E+08    68   0.32323E-04
  0.68000E+08    66   0.32323E-04
  0.69000E+08    66   0.32497E-04
  0.70000E+08    66   0.32672E-04
  0.71000E+08    66   0.34169E-04
  0.72000E+08    67   0.34418E-04
  0.73000E+08    67   0.34513E-04
  0.74000E+08    67   0.34513E-04
  0.75000E+08    65   0.35505E-04
  0.76000E+08    65   0.36498E-04
  0.77000E+08    66   0.36517E-04
  0.78000E+08    67   0.36546E-04
  0.79000E+08    66   0.36567E-04
