 time (at Rp)  nbod    mass/mp
  0.10000E+07    51   0.10000E-05
  0.20000E+07    52   0.10288E-05
  0.30000E+07    53   0.10821E-05
  0.40000E+07    54   0.11220E-05
  0.50000E+07    55   0.12092E-05
  0.60000E+07    56   0.12319E-05
  0.70000E+07    56   0.12319E-05
  0.80000E+07    57   0.22242E-05
  0.90000E+07    57   0.23113E-05
  0.10000E+08    58   0.23368E-05
  0.11000E+08    59   0.23901E-05
  0.12000E+08    60   0.32128E-05
  0.13000E+08    60   0.32128E-05
  0.14000E+08    61   0.33536E-05
  0.15000E+08    62   0.57542E-05
  0.16000E+08    62   0.62512E-05
  0.17000E+08    63   0.62885E-05
  0.18000E+08    63   0.63418E-05
  0.19000E+08    63   0.63418E-05
  0.20000E+08    64   0.64983E-05
  0.21000E+08    65   0.66029E-05
  0.22000E+08    66   0.78140E-05
  0.23000E+08    66   0.81358E-05
  0.24000E+08    66   0.84178E-05
  0.25000E+08    66   0.84178E-05
  0.26000E+08    66   0.84370E-05
  0.27000E+08    64   0.10317E-04
  0.28000E+08    64   0.10744E-04
  0.29000E+08    64   0.10801E-04
  0.30000E+08    64   0.10917E-04
  0.31000E+08    63   0.10917E-04
  0.32000E+08    64   0.11044E-04
  0.33000E+08    65   0.13444E-04
  0.34000E+08    65   0.13560E-04
  0.35000E+08    65   0.13594E-04
  0.36000E+08    66   0.13710E-04
  0.37000E+08    66   0.13710E-04
  0.38000E+08    67   0.13805E-04
  0.39000E+08    68   0.13872E-04
  0.40000E+08    69   0.13946E-04
  0.41000E+08    68   0.14141E-04
  0.42000E+08    69   0.14268E-04
  0.43000E+08    69   0.14268E-04
  0.44000E+08    70   0.14318E-04
  0.45000E+08    70   0.14337E-04
  0.46000E+08    71   0.14442E-04
  0.47000E+08    72   0.14479E-04
  0.48000E+08    73   0.14506E-04
  0.49000E+08    73   0.14549E-04
  0.50000E+08    72   0.14549E-04
  0.51000E+08    73   0.14592E-04
  0.52000E+08    73   0.14613E-04
  0.53000E+08    73   0.14718E-04
  0.54000E+08    72   0.14859E-04
  0.55000E+08    73   0.14926E-04
  0.56000E+08    73   0.14926E-04
  0.57000E+08    73   0.15067E-04
  0.58000E+08    74   0.15315E-04
  0.59000E+08    75   0.15395E-04
  0.60000E+08    75   0.15441E-04
  0.61000E+08    71   0.15546E-04
  0.62000E+08    71   0.15546E-04
  0.63000E+08    71   0.15673E-04
  0.64000E+08    72   0.15788E-04
  0.65000E+08    71   0.15893E-04
  0.66000E+08    72   0.15932E-04
  0.67000E+08    72   0.16302E-04
  0.68000E+08    72   0.16302E-04
  0.69000E+08    70   0.16459E-04
  0.70000E+08    71   0.18338E-04
  0.71000E+08    72   0.18465E-04
  0.72000E+08    72   0.18747E-04
  0.73000E+08    71   0.19330E-04
  0.74000E+08    71   0.19330E-04
  0.75000E+08    72   0.19612E-04
  0.76000E+08    71   0.19808E-04
  0.77000E+08    71   0.19848E-04
  0.78000E+08    72   0.20217E-04
  0.79000E+08    72   0.20280E-04
  0.80000E+08    72   0.20280E-04
  0.81000E+08    72   0.20359E-04
  0.82000E+08    73   0.20579E-04
  0.83000E+08    73   0.21076E-04
  0.84000E+08    73   0.21217E-04
  0.85000E+08    73   0.22040E-04
  0.86000E+08    73   0.22040E-04
  0.87000E+08    73   0.22072E-04
  0.88000E+08    74   0.22499E-04
  0.89000E+08    75   0.23322E-04
  0.90000E+08    76   0.23497E-04
  0.91000E+08    76   0.23540E-04
  0.92000E+08    75   0.25940E-04
  0.93000E+08    74   0.25940E-04
  0.94000E+08    75   0.26027E-04
  0.95000E+08    75   0.28428E-04
  0.96000E+08    76   0.28453E-04
  0.97000E+08    74   0.28453E-04
  0.98000E+08    73   0.28568E-04
  0.99000E+08    72   0.28648E-04
  0.10000E+09    71   0.28681E-04
  0.10100E+09    71   0.28837E-04
  0.10200E+09    71   0.28837E-04
  0.10300E+09    71   0.28857E-04
  0.10400E+09    72   0.29105E-04
  0.10500E+09    71   0.29167E-04
  0.10600E+09    71   0.29167E-04
  0.10700E+09    72   0.29205E-04
  0.10800E+09    73   0.29632E-04
  0.10900E+09    74   0.29656E-04
  0.11000E+09    73   0.29656E-04
  0.11100E+09    74   0.29875E-04
  0.11200E+09    74   0.30157E-04
  0.11300E+09    73   0.30332E-04
  0.11400E+09    72   0.30332E-04
  0.11500E+09    72   0.30351E-04
  0.11600E+09    73   0.31849E-04
  0.11700E+09    71   0.31976E-04
  0.11800E+09    71   0.31976E-04
  0.11900E+09    71   0.32000E-04
  0.12000E+09    71   0.32127E-04
  0.12100E+09    70   0.32347E-04
  0.12200E+09    70   0.32347E-04
  0.12300E+09    68   0.32393E-04
  0.12400E+09    68   0.33215E-04
  0.12500E+09    68   0.33289E-04
  0.12600E+09    67   0.33289E-04
  0.12700E+09    66   0.33319E-04
  0.12800E+09    67   0.33341E-04
  0.12900E+09    68   0.33384E-04
  0.13000E+09    67   0.33384E-04
  0.13100E+09    68   0.34073E-04
  0.13200E+09    69   0.35065E-04
  0.13300E+09    69   0.35648E-04
  0.13400E+09    69   0.36337E-04
  0.13500E+09    68   0.36337E-04
  0.13600E+09    69   0.36707E-04
  0.13700E+09    67   0.36753E-04
  0.13800E+09    68   0.39153E-04
  0.13900E+09    66   0.39153E-04
  0.14000E+09    67   0.39523E-04
  0.14100E+09    67   0.39546E-04
  0.14200E+09    67   0.39567E-04
  0.14300E+09    66   0.39567E-04
  0.14400E+09    66   0.39742E-04
  0.14500E+09    67   0.39815E-04
  0.14600E+09    67   0.39836E-04
  0.14700E+09    66   0.39836E-04
  0.14800E+09    65   0.40659E-04
  0.14900E+09    66   0.40981E-04
  0.15000E+09    66   0.41000E-04
  0.15100E+09    65   0.41000E-04
  0.15200E+09    65   0.42880E-04
  0.15300E+09    66   0.43202E-04
  0.15400E+09    67   0.43422E-04
  0.15500E+09    66   0.43422E-04
  0.15600E+09    65   0.43537E-04
  0.15700E+09    66   0.43561E-04
  0.15800E+09    66   0.43581E-04
  0.15900E+09    62   0.43581E-04
  0.16000E+09    61   0.43643E-04
  0.16100E+09    62   0.44466E-04
  0.16200E+09    61   0.46346E-04
  0.16300E+09    59   0.46346E-04
  0.16400E+09    59   0.46473E-04
  0.16500E+09    60   0.46569E-04
  0.16600E+09    61   0.46656E-04
  0.16700E+09    62   0.46675E-04
  0.16800E+09    62   0.46675E-04
  0.16900E+09    61   0.46700E-04
  0.17000E+09    61   0.48198E-04
  0.17100E+09    62   0.48285E-04
  0.17200E+09    62   0.48285E-04
  0.17300E+09    62   0.48314E-04
  0.17400E+09    62   0.48344E-04
  0.17500E+09    62   0.48412E-04
  0.17600E+09    59   0.48412E-04
  0.17700E+09    60   0.48660E-04
  0.17800E+09    61   0.48686E-04
  0.17900E+09    61   0.48860E-04
  0.18000E+09    61   0.48860E-04
  0.18100E+09    59   0.49443E-04
  0.18200E+09    60   0.49548E-04
  0.18300E+09    60   0.49615E-04
  0.18400E+09    57   0.49615E-04
  0.18500E+09    57   0.49897E-04
  0.18600E+09    57   0.50179E-04
  0.18700E+09    58   0.50214E-04
  0.18800E+09    58   0.50214E-04
  0.18900E+09    58   0.50903E-04
  0.19000E+09    58   0.51896E-04
  0.19100E+09    58   0.51969E-04
  0.19200E+09    56   0.51969E-04
  0.19300E+09    54   0.52015E-04
  0.19400E+09    55   0.52039E-04
  0.19500E+09    54   0.52039E-04
  0.19600E+09    52   0.52536E-04
  0.19700E+09    53   0.52555E-04
  0.19800E+09    53   0.52555E-04
  0.19900E+09    52   0.52651E-04
  0.20000E+09    52   0.53148E-04
  0.20100E+09    50   0.53148E-04
  0.20200E+09    50   0.54645E-04
  0.20300E+09    51   0.54741E-04
  0.20400E+09    50   0.54741E-04
  0.20500E+09    51   0.54768E-04
  0.20600E+09    50   0.54803E-04
  0.20700E+09    50   0.54882E-04
  0.20800E+09    50   0.54882E-04
